32	4	24489
32	4	32392
112	6	23406
121	6	39924
172	4	7119
181	4	20452
188	6	29407
193	6	11869
193	6	18878
193	6	27058
258	6	35861
271	6	40026
354	4	36395
450	4	4488
617	6	23164
637	6	14054
637	6	23571
637	6	29851
637	6	31616
637	6	39536
637	6	39715
637	6	40404
680	7	38698
680	7	40901
687	6	27283
743	6	9450
785	7	11761
785	8	155
785	8	1493
785	8	6770
785	8	8245
785	8	10116
785	8	12268
785	8	15703
785	8	18729
785	8	21817
785	8	23537
785	8	28822
785	8	29200
785	8	36761
785	8	37575
785	8	38749
785	8	39420
840	6	30428
840	8	19493
840	8	36647
1019	4	596
1019	4	8780
1038	4	7455
1038	4	13190
1038	4	31677
1038	4	33781
1038	4	40447
1046	7	18091
1046	7	18788
1046	7	36048
1046	7	39181
1071	6	14854
1190	6	31657
1190	6	39319
1193	4	39361
1226	4	33413
1255	6	24915
1431	4	27265
1432	4	24308
1559	8	14508
1559	8	25902
1620	4	23845
1678	7	9202
1678	7	18000
1678	7	18056
1678	7	26036
1678	7	30089
1678	7	35669
1678	7	36781
1678	7	38204
1678	7	40551
1678	7	40887
1702	4	29665
1732	6	23260
1742	6	21979
1772	6	37182
1821	6	39122
1823	7	36030
1864	4	9221
1864	4	12986
1864	4	39744
1913	6	25274
1914	6	14604
1918	6	39340
1930	4	36216
1937	6	25054
1966	4	24890
1999	4	17069
2050	6	30438
2085	6	10383
2173	6	18659
2173	6	38083
2181	6	11583
2181	6	20785
2212	6	39573
2261	4	18565
2261	4	19476
2370	4	3245
2404	6	17683
2529	4	12558
2645	4	29221
2713	6	7645
2714	6	17927
2736	4	13398
2736	4	26470
2736	4	33515
2736	4	34726
2736	4	35146
2858	4	33960
2924	4	2659
2924	4	29020
2924	4	30666
2924	4	36766
2956	4	29945
3096	4	25112
3239	4	27881
3239	4	36428
3239	4	39144
3289	6	36920
3398	4	14735
3408	6	8243
3408	6	8940
3408	8	28506
3408	8	38801
3410	4	40221
3432	4	7926
3527	6	20663
3544	6	29062
3574	6	39280
3741	6	11977
3840	4	25993
3866	4	24189
3866	4	38485
3882	4	10151
3972	7	37089
3989	4	18951
4044	4	31152
4102	4	38587
4109	6	1349
4175	4	8602
4177	6	5022
4227	6	32367
4318	6	27523
4388	4	38068
4453	6	7580
4482	4	9719
4771	4	11796
4913	4	20284
4914	4	5471
4929	4	37085
4940	6	40772
4955	6	15531
4983	6	33006
5015	4	5256
5125	6	35244
5144	4	4318
5167	6	27267
5262	6	29332
5443	6	33646
5628	7	18994
5741	6	31343
5767	4	21704
5771	4	39949
5777	4	4318
5783	4	23036
5945	6	10270
5985	6	10735
6188	4	24112
6188	4	24347
6371	6	13857
6506	6	39335
6633	7	12050
6633	7	40129
6768	6	10205
6768	6	24640
6865	4	2298
6924	4	25551
6924	4	37669
6974	6	17672
7078	6	36019
7100	4	29718
7129	6	37636
7129	6	39342
7159	4	32394
7229	4	37460
7362	4	32362
7396	4	28775
7489	6	35302
7665	4	11919
7705	4	29204
7862	4	17841
8080	4	23312
8288	4	37118
8310	6	12531
8336	6	2824
8398	4	40398
8474	4	17327
8518	8	19686
8525	4	37769
8617	6	7587
8716	6	31315
9031	4	20091
9097	4	33963
9116	4	34497
9243	6	35214
9434	4	40717
9461	4	12081
9573	6	3123
9683	6	40773
9762	6	8948
9855	6	33387
9983	4	21913
10097	6	15251
10125	4	13911
10233	4	38705
10319	4	33522
10504	6	36780
10544	6	38325
10574	6	36868
10581	4	27666
10633	4	19550
10713	4	2207
10737	6	27038
10755	4	22444
11022	6	27914
11125	4	10606
11184	4	27448
11455	4	7090
11500	6	11034
11576	6	38596
11605	4	40002
11678	4	24132
11679	7	15652
11962	4	5667
11988	4	31236
12201	4	22304
12259	4	40042
12266	4	18612
12319	4	14836
12345	4	32572
12466	4	38408
12466	4	38825
12467	4	39860
12608	4	21734
12685	6	19180
12740	4	40747
12784	4	1630
12784	4	5463
12790	6	38666
12815	4	20570
12815	4	27688
12866	6	7036
13056	6	39139
13106	4	30126
13141	4	36356
13300	6	14769
13327	6	22210
13370	4	32777
13378	4	37002
13379	4	19119
13398	4	7720
13599	4	38034
13724	4	995
13785	6	30026
13903	6	32368
13958	4	28025
